state,ym,price,cpi,vmt,fatal,spdfatal,duifatal,urate,pcinc,etohpc,beertax,gdlyear
AL,584,3.2517,209.037,2.29126,46,14,42,7.311,43228.4,2.7454,0.8492,2005
AL,585,3.277,209.474,2.26561,38,9,320,7.305,43834.9,2.5398,0.8492,2005
AL,586,2.1355,209.911,2.26561,44,43,45,8.111,44721.0,2.6032,0.8492,2005
AL,587,1.7036,210.35,2.24581,33,22,119,8.486,43650.5,2.5099,0.8492,2005
AL,588,2.2362,210.789,2.26454,40,21,265,7.978,44934.7,2.4402,0.8492,2005
AL,589,2.2133,211.229,2.30635,38,12,89,7.621,44097.9,2.4479,0.8492,2005
AL,590,2.2983,211.67,2.35601,27,22,123,8.4,43544.3,2.3507,0.8492,2005
AL,591,2.3555,212.113,2.44845,27,27,92,7.981,44123.0,2.264,0.8492,2005
AL,592,2.4018,212.556,2.56107,24,38,89,8.379,44384.2,2.3615,0.8492,2005
AL,593,2.3964,213.0,2.5666,35,22,333,8.314,43471.2,2.5423,0.8492,2005
AL,594,2.494,213.444,2.54759,39,29,69,8.392,44019.8,2.3466,0.8492,2005
AL,595,2.4691,213.89,2.56195,37,26,180,8.042,44911.3,2.5343,0.8492,2005
AL,596,2.4089,214.337,2.60798,35,69,66,7.686,44637.3,2.8202,0.8492,2005
AL,597,2.3157,214.785,2.47614,38,16,80,7.786,45258.9,2.5845,0.8492,2005
AL,598,2.3209,215.233,2.34799,32,15,264,7.869,44266.1,2.6045,0.8492,2005
AL,599,2.2272,215.683,2.3749,44,4,177,8.154,45193.9,2.5898,0.8492,2005
AL,600,2.6616,216.133,2.36339,39,12,106,7.348,44351.0,2.6883,0.8492,2005
AL,601,2.6268,216.585,2.273,43,11,88,7.732,44265.4,2.4837,0.8492,2005
AL,602,2.6927,217.037,2.27961,43,9,88,8.939,44283.1,2.351,0.8492,2005
AL,603,2.7418,217.491,2.41695,36,7,37,8.022,46508.2,2.2385,0.8492,2005
AL,604,2.8015,217.945,2.62092,40,9,54,8.239,44890.8,2.5617,0.8492,2005
AL,605,2.8489,218.4,2.55664,42,15,50,8.391,45806.8,2.5851,0.8492,2005
AL,606,2.7884,218.856,2.58779,34,33,247,7.448,45033.2,2.5145,0.8492,2005
AL,607,2.7887,219.313,2.52937,28,18,335,7.565,44633.1,2.6017,0.8492,2005
AL,608,2.8037,219.772,2.4813,37,19,60,7.86,45529.2,2.4975,0.8492,2005
AL,609,2.7259,220.231,2.47519,35,17,33,7.189,45951.7,2.6437,0.8492,2005
AL,610,2.7405,220.691,2.4117,34,13,302,7.301,45702.8,2.6275,0.8492,2005
AL,611,2.7146,221.152,2.27061,46,21,143,7.963,45477.8,2.5593,0.8492,2005
AL,612,3.4442,221.614,2.32132,27,23,176,5.086,47050.7,2.1788,0.8492,2005
AL,613,3.4035,222.076,2.38081,36,10,236,5.042,47275.2,2.2235,0.8492,2005
AL,614,3.5163,222.54,2.30807,35,17,101,5.531,47072.8,2.2066,0.8492,2005
AL,615,3.5798,223.005,2.43905,29,14,168,5.576,47555.7,2.1106,0.8492,2005
AL,616,3.6223,223.471,2.4712,32,17,197,4.931,47256.5,2.1438,0.8492,2005
AL,617,3.5691,223.938,2.61253,38,29,71,5.322,46804.3,2.276,0.8492,2005
AL,618,3.5257,224.405,2.5655,40,25,94,4.939,48680.3,2.3132,0.8492,2005
AL,619,3.5279,224.874,2.72313,34,19,155,4.891,48797.7,2.3441,0.8492,2005
AL,620,3.5153,225.344,2.50256,40,9,298,4.917,47438.0,2.395,0.8492,2005
AL,621,3.4935,225.815,2.44587,33,22,101,4.404,47589.8,2.4185,0.8492,2005
AL,622,3.4164,226.286,2.31239,41,23,189,4.836,47401.8,2.5281,0.8492,2005
AL,623,3.3972,226.759,2.32371,39,25,14,4.988,48297.8,2.2849,0.8492,2005
AL,624,3.5245,227.233,2.32829,34,4,83,4.372,48503.6,2.45,0.8492,2005
AL,625,3.4839,227.707,2.30439,32,30,56,4.996,48041.6,2.2709,0.8492,2005
AL,626,3.5479,228.183,2.52146,29,43,201,5.798,49283.5,2.2009,0.8492,2005
AL,627,3.5142,228.659,2.4897,31,10,148,5.597,48185.6,2.2562,0.8492,2005
AL,628,3.5844,229.137,2.53568,30,18,66,4.774,48976.0,2.2708,0.8492,2005
AL,629,3.7607,229.616,2.56457,32,13,170,4.923,48000.0,2.2862,0.8492,2005
AL,630,3.8261,230.095,2.64376,39,20,66,5.851,48784.5,2.2391,0.8492,2005
AL,631,3.8478,230.576,2.61571,39,10,137,4.82,48354.7,2.3941,0.8492,2005
AL,632,3.7077,231.057,2.59119,25,13,189,4.317,49424.0,2.5172,0.8492,2005
AL,633,3.7315,231.54,2.42554,54,42,108,5.16,48938.5,2.4439,0.8492,2005
AL,634,3.5599,232.024,2.39387,47,17,114,4.761,49982.0,2.5056,0.8492,2005
AL,635,3.5447,232.508,2.4258,39,9,157,4.012,49222.4,2.3146,0.8492,2005
AL,636,3.4633,232.994,2.45333,45,31,207,5.227,50000.0,2.2924,0.8492,2005
AL,637,3.3706,233.481,2.295,29,21,64,5.142,48841.5,2.1147,0.8492,2005
AL,638,3.4308,233.968,2.51664,32,21,119,4.884,49450.8,2.1385,0.8492,2005
AL,639,3.407,234.457,2.57327,30,33,100,5.108,49136.6,2.1777,0.8492,2005
AL,640,3.5474,234.947,2.71914,36,8,140,5.739,49618.3,2.0068,0.8492,2005
AL,641,3.6354,235.438,2.75017,28,13,324,6.184,50426.7,2.0454,0.8492,2005
AL,642,3.6262,235.929,2.79638,43,22,319,4.503,50198.4,2.3218,0.8492,2005
AL,643,3.7146,236.422,2.75411,45,63,48,4.758,49484.5,2.2938,0.8492,2005
AL,644,3.6373,236.916,2.53391,24,14,172,4.977,49796.7,2.5309,0.8492,2005
AL,645,3.4978,237.411,2.59337,49,22,45,4.972,50543.7,2.4336,0.8492,2005
AL,646,3.4285,237.907,2.3916,49,23,108,4.711,49664.4,2.5031,0.8492,2005
AL,647,3.3469,238.404,2.38628,39,20,95,4.547,49606.3,2.4341,0.8492,2005
AL,648,3.2513,238.902,2.41859,37,6,192,5.314,50930.3,2.317,0.8492,2005
AL,649,3.324,239.401,2.44938,40,32,100,5.177,50851.7,2.1801,0.8492,2005
AL,650,3.2874,239.901,2.45272,26,20,33,5.645,50414.3,2.0954,0.8492,2005
AL,651,3.2861,240.402,2.60581,37,13,85,5.484,49962.6,2.1249,0.8492,2005
AL,652,3.3772,240.904,2.68013,25,23,88,5.593,50708.9,2.1612,0.8492,2005
AL,653,3.5869,241.407,2.79021,32,13,201,5.847,51443.2,2.3209,0.8492,2005
AL,654,3.3946,241.911,2.86175,31,14,158,5.581,50347.8,2.4072,0.8492,2005
AL,655,3.391,242.417,2.74485,46,18,48,5.097,50497.3,2.3797,0.8492,2005
AL,656,3.3586,242.923,2.64934,41,29,583,5.343,51365.9,2.5599,0.8492,2005
AL,657,3.4301,243.43,2.64735,41,13,503,4.865,50529.8,2.5594,0.8492,2005
AL,658,3.4608,243.939,2.57971,26,34,28,5.07,49851.0,2.2755,0.8492,2005
AL,659,3.3528,244.448,2.46357,37,28,251,4.442,50268.5,2.3338,0.8492,2005
AL,660,2.119,244.959,2.5324,38,19,154,5.357,51324.0,2.2832,0.8492,2005
AL,661,2.3861,245.471,2.61397,37,13,144,5.548,51690.9,2.2814,0.8492,2005
AL,662,2.4455,245.983,2.74457,33,17,58,4.678,50413.0,2.1667,0.8492,2005
AL,663,2.458,246.497,2.797,31,10,80,5.372,51344.3,2.2032,0.8492,2005
AL,664,2.5556,247.012,2.91158,20,18,170,5.148,50334.4,2.2315,0.8492,2005
AL,665,2.5872,247.528,3.01272,38,52,92,5.577,51838.2,2.1383,0.8492,2005
AL,666,2.5321,248.045,3.09373,28,10,204,4.982,51879.1,2.2824,0.8492,2005
AL,667,2.4385,248.563,3.12555,49,38,355,5.062,51881.9,2.3328,0.8492,2005
AL,668,2.4939,249.082,2.92521,54,15,181,4.0,52328.7,2.433,0.8492,2005
AL,669,2.4423,249.603,2.81857,31,38,69,5.204,52859.1,2.5112,0.8492,2005
AL,670,2.3764,250.124,2.7546,39,43,249,4.445,52057.9,2.407,0.8492,2005
AL,671,2.3696,250.646,2.69137,50,30,74,5.062,52570.5,2.2428,0.8492,2005
AL,672,2.0212,251.17,2.68323,36,23,127,5.303,52175.8,2.3377,0.8492,2005
AL,673,2.0239,251.694,2.78121,27,52,104,5.89,52667.0,2.1921,0.8492,2005
AL,674,2.0587,252.22,2.94598,39,66,147,5.181,52220.4,2.1798,0.8492,2005
AL,675,2.1789,252.747,2.88041,35,16,324,5.41,52508.7,2.2148,0.8492,2005
AL,676,2.2478,253.275,3.10411,37,3,77,5.857,52556.9,2.179,0.8492,2005
AL,677,2.2664,253.804,3.20408,42,9,213,5.646,52904.4,2.2931,0.8492,2005
AL,678,2.2416,254.334,3.10996,37,33,104,5.443,52844.9,2.3572,0.8492,2005
AL,679,2.1763,254.865,3.19131,41,17,89,4.753,53200.9,2.2931,0.8492,2005
AL,680,2.1321,255.398,3.15066,33,38,246,4.072,53235.3,2.4089,0.8492,2005
AL,681,2.0965,255.931,3.02268,49,40,209,5.156,52980.9,2.4629,0.8492,2005
AL,682,2.0739,256.466,2.95214,53,40,122,5.413,52628.8,2.5762,0.8492,2005
AL,683,1.9876,257.001,2.76338,43,36,264,5.253,54603.8,2.421,0.8492,2005
AL,684,2.2926,257.538,2.91968,34,49,99,4.834,54227.6,2.2655,0.8492,2005
AL,685,2.3082,258.076,2.90961,42,36,129,5.508,53517.4,2.2309,0.8492,2005
AL,686,2.2996,258.615,3.01597,30,23,352,5.744,54100.1,2.2659,0.8492,2005
AL,687,2.4409,259.155,3.01078,29,22,113,5.085,53571.7,2.0558,0.8492,2005
AL,688,2.4394,259.697,3.12445,36,23,109,4.831,52444.4,2.2782,0.8492,2005
AL,689,2.4754,260.239,3.19582,32,21,263,5.444,53163.2,2.2225,0.8492,2005
AL,690,2.4787,260.783,3.04764,32,2,141,4.902,53535.9,2.2136,0.8492,2005
AL,691,2.564,261.327,3.14539,46,33,198,4.475,53789.7,2.2916,0.8492,2005
AL,692,2.4726,261.873,3.18396,36,8,231,4.892,53876.6,2.4526,0.8492,2005
AL,693,2.4172,262.42,2.99431,29,41,491,4.458,55799.8,2.4979,0.8492,2005
AL,694,2.4173,262.968,2.79611,48,15,205,5.041,53957.9,2.4991,0.8492,2005
AL,695,2.2879,263.518,2.8078,36,14,272,4.306,54023.7,2.3537,0.8492,2005
AL,696,2.6567,264.068,2.76543,42,27,84,4.621,53579.1,2.4213,0.8492,2005
AL,697,2.6278,264.62,2.76879,38,15,58,5.403,54361.5,2.0911,0.8492,2005
AL,698,2.6607,265.172,2.83166,39,10,93,5.067,54536.4,2.1778,0.8492,2005
AL,699,2.7766,265.726,2.98246,26,17,74,5.109,55985.2,2.1743,0.8492,2005
AL,700,2.7547,266.281,3.221,37,35,140,4.64,54900.1,2.2819,0.8492,2005
AL,701,2.8233,266.838,3.0714,36,51,276,5.081,54302.0,2.2252,0.8492,2005
AL,702,2.9098,267.395,3.14033,40,18,683,4.953,53631.0,2.3296,0.8492,2005
AL,703,2.8419,267.953,2.99487,41,22,208,5.096,54572.7,2.3881,0.8492,2005
AL,704,2.8906,268.513,3.04745,40,13,432,4.088,55423.3,2.4818,0.8492,2005
AL,705,2.7671,269.074,2.9544,34,9,198,4.765,55689.4,2.3386,0.8492,2005
AL,706,2.5898,269.636,2.88889,42,15,215,4.562,55124.2,2.3563,0.8492,2005
AL,707,2.5614,270.199,2.79368,46,17,152,4.777,54551.8,2.3309,0.8492,2005
AL,708,2.4461,270.764,2.83845,32,41,90,4.439,55992.6,2.3347,0.8492,2005
AL,709,2.4635,271.329,2.83012,40,17,96,5.253,54795.6,2.1747,0.8492,2005
AL,710,2.5194,271.896,2.9083,32,10,211,5.547,55342.3,2.1249,0.8492,2005
AL,711,2.617,272.464,3.08293,24,23,143,5.555,56741.1,2.2291,0.8492,2005
AL,712,2.6255,273.033,3.11253,37,26,73,5.001,55382.6,2.3312,0.8492,2005
AL,713,2.6253,273.603,3.21762,51,20,60,4.919,55849.6,2.0219,0.8492,2005
AL,714,2.6523,274.175,3.18772,39,29,114,5.076,55034.8,2.1443,0.8492,2005
AL,715,2.6573,274.747,3.25188,40,42,426,5.194,56400.9,2.539,0.8492,2005
AL,716,2.6051,275.321,3.09633,40,62,81,4.992,56334.8,2.4034,0.8492,2005
AL,717,2.4879,275.896,3.03324,36,26,212,5.159,56152.1,2.5164,0.8492,2005
AL,718,2.4083,276.473,3.07108,50,25,167,4.478,57005.3,2.3366,0.8492,2005
AL,719,2.4752,277.05,2.92402,51,37,298,5.5,56592.4,2.4077,0.8492,2005
AL,720,2.0807,277.629,2.86435,31,5,140,9.25,57274.0,2.409,0.8492,2005
AL,721,2.1057,278.209,2.79996,41,17,94,9.148,56671.4,2.2293,0.8492,2005
AL,722,2.1647,278.79,2.37695,34,11,79,9.729,56320.9,2.2079,0.8492,2005
AL,723,1.8488,279.372,2.01283,40,12,184,10.329,55411.1,2.1048,0.8492,2005
AL,724,1.8286,279.956,2.38139,33,31,200,9.335,55946.0,2.0936,0.8492,2005
AL,725,2.2598,280.54,2.92875,23,11,255,9.159,56655.7,2.2759,0.8492,2005
AL,726,2.2746,281.126,3.02072,33,12,106,8.864,56975.6,2.259,0.8492,2005
AL,727,2.2107,281.714,3.11742,53,55,116,9.46,58726.7,2.4483,0.8492,2005
AL,728,2.1805,282.302,3.20702,51,12,150,9.706,57507.3,2.344,0.8492,2005
AL,729,2.1305,282.892,3.03955,38,35,221,9.42,56891.2,2.5057,0.8492,2005
AL,730,2.0955,283.483,2.93642,56,32,320,9.58,58128.5,2.3414,0.8492,2005
AL,731,2.0175,284.075,2.99232,47,20,315,9.052,57362.0,2.4146,0.8492,2005
AL,732,2.8431,284.668,2.92673,26,22,285,5.334,57475.6,2.3594,0.8492,2005
AL,733,2.8014,285.263,3.00402,37,46,163,5.188,58355.0,2.2073,0.8492,2005
AL,734,2.8867,285.859,3.00664,31,49,85,4.305,58838.0,2.1313,0.8492,2005
AL,735,3.0074,286.456,3.04866,28,51,189,5.168,58632.2,2.2261,0.8492,2005
AL,736,3.1188,287.054,3.05795,33,21,16,5.65,57118.9,2.2436,0.8492,2005
AL,737,3.145,287.654,3.22591,38,8,381,5.625,59380.7,2.1695,0.8492,2005
AL,738,3.2037,288.254,3.15971,48,22,104,4.89,57412.3,2.3543,0.8492,2005
AL,739,3.2016,288.856,3.29858,28,21,339,5.258,58022.9,2.4147,0.8492,2005
AL,740,3.1446,289.46,3.16671,39,11,214,3.718,58006.4,2.4045,0.8492,2005
AL,741,2.9688,290.064,2.9895,42,19,519,4.261,59530.2,2.4252,0.8492,2005
AL,742,2.9305,290.67,3.0566,42,66,154,4.673,59980.0,2.2839,0.8492,2005
AL,743,2.8699,291.277,2.92811,50,28,350,4.573,59052.7,2.5074,0.8492,2005
AL,744,3.859,291.886,2.88181,34,10,40,4.301,59271.2,2.1919,0.8492,2005
AL,745,3.997,292.496,2.84637,41,12,215,4.5,58415.7,2.1993,0.8492,2005
AL,746,4.0092,293.106,2.916,49,37,35,5.438,58753.6,2.1983,0.8492,2005
AL,747,3.9793,293.719,2.95936,40,17,120,5.087,59914.6,2.1032,0.8492,2005
AL,748,4.5082,294.332,3.0508,35,6,180,4.537,60103.5,2.2075,0.8492,2005
AL,749,4.8073,294.947,2.95075,30,47,96,5.44,59800.9,2.2139,0.8492,2005
AL,750,3.9826,295.563,3.17241,57,46,51,4.717,59660.1,2.2943,0.8492,2005
AL,751,4.091,296.18,3.22183,37,26,145,4.402,62047.3,2.2478,0.8492,2005
AL,752,3.9877,296.799,2.9022,41,13,392,5.007,58334.2,2.4514,0.8492,2005
AL,753,4.0194,297.419,2.90615,45,55,314,4.874,59538.7,2.4715,0.8492,2005
AL,754,3.9652,298.04,2.95315,40,21,322,4.461,59900.1,2.398,0.8492,2005
AL,755,3.8401,298.663,2.80694,22,15,193,4.649,60184.1,2.3972,0.8492,2005
AL,756,3.4023,299.287,2.80658,46,7,234,5.125,61373.3,2.3011,0.8492,2005
AL,757,3.5624,299.912,2.77629,29,25,137,5.418,59841.0,2.1795,0.8492,2005
AL,758,3.5683,300.538,2.79002,34,13,151,4.72,59125.3,2.147,0.8492,2005
AL,759,3.5607,301.166,3.17525,21,43,98,5.468,62077.4,2.2609,0.8492,2005
AL,760,3.6738,301.795,3.11993,28,43,106,5.339,59833.4,2.0818,0.8492,2005
AL,761,3.6527,302.425,3.23829,44,42,127,5.297,59744.7,2.2634,0.8492,2005
AL,762,3.6161,303.057,3.31244,41,7,268,5.021,60451.0,2.2867,0.8492,2005
AL,763,3.6687,303.69,3.24573,40,31,230,5.288,61032.1,2.4655,0.8492,2005
AL,764,3.5548,304.324,3.1884,30,27,488,4.771,60072.5,2.4812,0.8492,2005
AL,765,3.5818,304.96,2.99114,44,32,197,4.865,61005.0,2.548,0.8492,2005
AL,766,3.4819,305.597,2.95924,46,16,126,5.125,61151.6,2.4491,0.8492,2005
AL,767,3.4428,306.235,2.87197,45,28,329,4.649,60425.2,2.3844,0.8492,2005
AL,768,3.1804,306.875,2.90182,28,14,131,4.698,61869.1,2.3156,0.8492,2005
AL,769,3.2335,307.516,2.97946,42,26,152,5.71,60604.2,2.2672,0.8492,2005
AL,770,3.1777,308.158,2.99951,30,8,168,5.607,60100.1,2.1941,0.8492,2005
AL,771,3.2551,308.802,3.10476,33,18,88,5.689,61204.1,2.1086,0.8492,2005
AL,772,3.1796,309.447,3.15781,48,17,115,6.132,62195.3,2.1412,0.8492,2005
AL,773,3.3168,310.093,3.3183,43,49,237,5.427,61806.8,2.1392,0.8492,2005
AL,774,3.3849,310.741,3.44692,37,30,160,5.259,61910.0,2.2018,0.8492,2005
AL,775,3.4368,311.39,3.30252,40,13,71,5.542,61603.8,2.2409,0.8492,2005
AL,776,3.339,312.041,3.39942,27,51,428,4.452,62536.2,2.5165,0.8492,2005
AL,777,3.2829,312.692,3.24939,27,50,70,5.103,62025.7,2.5218,0.8492,2005
AL,778,3.2202,313.345,3.04824,43,28,34,5.216,63075.2,2.4892,0.8492,2005
AL,779,3.1715,314.0,2.88022,48,17,150,4.648,61349.1,2.3689,0.8492,2005
AK,540,2.2487,190.7,2.78241,38,21,106,4.954,42960.8,2.2947,0.1009,2005
AK,541,2.2739,191.098,2.74781,36,16,133,4.844,42938.8,2.2055,0.1009,2005
AK,542,2.2638,191.497,2.7158,28,18,363,5.111,43334.0,2.2233,0.1009,2005
AK,543,2.3704,191.897,2.85928,43,37,78,4.826,41787.2,2.0497,0.1009,2005
AK,544,2.3911,192.298,3.00089,51,27,42,5.813,41966.6,2.1506,0.1009,2005
AK,545,2.4229,192.7,3.03829,42,7,70,5.182,41984.0,2.3165,0.1009,2005
AK,546,2.4886,193.102,3.02165,34,30,83,4.719,43145.2,2.4619,0.1009,2005
AK,547,2.5427,193.506,3.01197,55,14,371,4.915,42496.2,2.4483,0.1009,2005
AK,548,2.442,193.91,2.94743,58,30,115,5.55,41831.0,2.2697,0.1009,2005
AK,549,2.3608,194.315,2.96091,51,49,228,4.335,42693.5,2.5088,0.1009,2005
AK,550,2.3579,194.721,2.77991,42,13,464,3.94,43315.2,2.4636,0.1009,2005
AK,551,2.233,195.128,2.73605,47,31,149,4.404,43134.7,2.3015,0.1009,2005
AK,552,2.5609,195.535,2.63097,50,25,40,5.703,42638.6,2.421,0.1009,2005
AK,553,2.5834,195.944,2.78202,47,31,73,4.906,42806.2,2.2184,0.1009,2005
AK,554,2.6031,196.353,2.73168,40,9,152,5.461,43295.2,2.2621,0.1009,2005
AK,555,2.6623,196.763,2.93479,42,19,89,5.851,43011.3,2.0511,0.1009,2005
AK,556,2.6946,197.174,2.9097,42,16,124,5.732,43229.4,2.302,0.1009,2005
AK,557,2.8027,197.586,3.07615,37,15,55,4.871,43598.0,2.3229,0.1009,2005
AK,558,2.8223,197.999,3.11055,42,29,67,4.894,43297.6,2.149,0.1009,2005
AK,559,2.7789,198.412,2.98162,48,52,167,4.861,42963.5,2.2593,0.1009,2005
AK,560,2.707,198.827,2.95668,43,18,58,5.046,44134.1,2.4351,0.1009,2005
AK,561,2.6694,199.242,2.80584,44,36,89,5.269,43406.3,2.5722,0.1009,2005
AK,562,2.5654,199.658,2.81913,64,23,155,5.091,44025.6,2.4198,0.1009,2005
AK,563,2.535,200.075,2.82325,37,49,183,5.072,43595.3,2.4856,0.1009,2005
AK,564,2.7222,200.493,2.69485,52,12,278,4.663,42702.1,2.1852,0.1009,2005
AK,565,2.7385,200.912,2.76892,38,33,221,5.394,44522.7,2.2353,0.1009,2005
AK,566,2.7964,201.331,2.77754,45,9,35,5.208,43449.0,2.1255,0.1009,2005
AK,567,2.8057,201.752,2.98652,36,33,80,4.752,45222.5,2.1375,0.1009,2005
AK,568,2.938,202.173,2.9611,35,25,259,5.149,44203.6,2.0941,0.1009,2005
AK,569,2.9056,202.596,3.13594,44,27,157,5.263,43940.8,1.978,0.1009,2005
AK,570,2.9459,203.019,3.03939,49,10,193,4.747,43384.4,2.3015,0.1009,2005
AK,571,2.9859,203.443,3.16338,49,29,202,4.915,44708.9,2.3954,0.1009,2005
AK,572,2.9273,203.868,2.9732,49,38,155,5.123,44320.7,2.497,0.1009,2005
AK,573,2.8633,204.294,2.89333,46,43,38,4.379,44018.6,2.444,0.1009,2005
AK,574,2.881,204.72,2.70831,38,48,43,4.944,43440.8,2.5547,0.1009,2005
AK,575,2.8621,205.148,2.782,44,7,177,4.58,44963.5,2.2594,0.1009,2005
AK,576,3.2899,205.576,2.5069,42,18,93,7.212,42488.2,2.4947,0.1009,2005
AK,577,3.294,206.006,2.6582,41,14,107,7.09,43387.5,2.4498,0.1009,2005
AK,578,3.3667,206.436,2.74902,35,23,219,8.061,43384.9,2.4217,0.1009,2005
AK,579,3.4054,206.867,2.72615,39,44,150,7.657,42943.4,2.243,0.1009,2005
AK,580,3.453,207.299,2.82268,37,35,260,7.546,43930.8,2.3526,0.1009,2005
AK,581,4.203,207.732,2.87632,36,44,319,7.961,44014.6,2.5365,0.1009,2005
AK,582,4.2325,208.166,2.90066,41,72,66,8.209,45193.7,2.4581,0.1009,2005
AK,583,3.5222,208.601,2.91472,39,23,119,7.74,44796.2,2.6869,0.1009,2005
AK,584,3.3013,209.037,2.82551,37,5,236,7.633,44221.5,2.7253,0.1009,2005
AK,585,3.2357,209.474,2.8343,57,13,207,6.901,43941.7,2.5376,0.1009,2005
AK,586,2.1566,209.911,2.68938,61,6,203,8.187,44169.5,2.6668,0.1009,2005
AK,587,1.6931,210.35,2.8659,44,17,158,7.195,44893.3,2.7114,0.1009,2005
AK,588,2.2772,210.789,2.81531,43,8,107,7.838,43803.5,2.5507,0.1009,2005
AK,589,2.3179,211.229,2.81808,43,26,82,7.548,43882.0,2.4009,0.1009,2005
AK,590,2.3533,211.67,2.85165,46,22,136,7.848,43992.3,2.3442,0.1009,2005
AK,591,2.3999,212.113,3.03186,50,17,67,7.945,45471.6,2.3592,0.1009,2005
AK,592,2.4791,212.556,3.08363,42,42,54,8.449,44421.9,2.2937,0.1009,2005
AK,593,2.5208,213.0,3.32206,42,30,172,8.03,44278.0,2.3776,0.1009,2005
AK,594,2.5302,213.444,3.40206,46,51,236,7.461,44929.7,2.5278,0.1009,2005
AK,595,2.5815,213.89,3.16223,56,22,96,7.899,44513.0,2.7636,0.1009,2005
AK,596,2.5197,214.337,2.97244,54,18,79,7.556,44061.6,2.6263,0.1009,2005
